,Factors,Coefficient
0,CIDR,-0.9636598401428516
1,COD,0.978482326168018
2,COF,0.9774058427733698
3,NNNA-RATIO,0.9767032086964894
4,SATA-RATIO,0.9344129549903384
5,TLTA-RATIO,-0.9670196300480102
6,ROI,0.9551682702149692
7,GNPASTA,0.9517293697841729
8,NNPASTA,0.9746530250434118
