,Factors,Coefficient
0,CIDR,-0.9897658595111524
1,COD,0.9397997332986552
2,COF,0.9374074610256636
3,IITA-RATIO,0.9746530250434118
4,NNNA-RATIO,0.9912988620765646
5,SATA-RATIO,0.9552353467203754
6,TLTA-RATIO,-0.9592463027830456
7,ROA,-0.8572636310800821
8,ROI,0.9748879819802768
9,GNPASTA,0.9930394266313628
