,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
gross npas/total assets,6.32,5.83,5.03,4.45,3.59,3.11,2.71,2.1,1.8,1.8,1.6
net npas/total assets,2.65,2.4,2.17,1.96,1.64,1.33,1.16,0.99,0.9,1.0,1.0
